NAME,PARTY,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8,Q9,Q10,Q11,Q12,Q13
西川＝京子,1,1,2,2,1,3,2,1,1,2,2,2,5,4,1,1,5,3,2,2,2,2,2,5,4,2,4,2,1,1,1,2,2,2
林田＝彪,1,2,2,2,1,5,1,1,2,2,3,3,5,3,1,1,4,4,1,1,2,4,3,5,3,2,3,4,1,1,1,2,2,3
湯川＝一行,1,2,3,3,2,3,1,2,2,2,2,3,4,4,1,1,4,3,4,3,3,3,2,4,3,4,3,3,1,2,2,4,2,2
泉＝幸親,1,3,3,3,2,2,2,3,2,2,4,4,2,2,2,2,2,2,3,2,4,3,2,3,4,4,2,2,1,2,2,2,2,2
安藤＝幽明,2,3,4,6,3,3,3,4,4,4,4,4,4,3,2,6,4,3,2,4,3,2,2,3,3,4,3,3,3,4,4,4,4,4
鈴木＝望,3,3,3,1,5,3,4,4,2,2,2,3,2,1,3,5,5,3,2,3,5,2,3,2,2,4,1,1,3,4,5,4,3,3
江田＝康幸,4,3,4,2,5,4,2,3,4,2,3,3,2,2,3,2,2,2,2,3,3,3,3,3,3,4,1,2,2,2,2,2,2,2
窪田＝哲也,4,4,5,3,5,4,2,2,2,2,4,5,1,1,3,2,2,2,2,3,2,3,4,3,3,2,3,2,2,2,1,2,2,2
遠山＝清彦,4,3,3,4,5,3,2,2,3,2,1,4,1,1,3,3,1,2,4,3,2,2,5,3,4,2,2,3,2,1,1,2,2,2
浜地＝雅一,4,2,4,4,4,3,2,2,2,3,4,3,2,2,4,3,2,2,3,3,3,2,4,3,4,4,2,3,3,2,1,3,2,2
吉田＝宣弘,4,2,5,3,5,5,2,2,2,2,4,2,2,2,2,3,2,2,3,3,3,1,2,3,3,3,1,3,2,2,2,3,2,2
中山＝英一,4,3,5,4,5,3,2,4,2,2,4,3,1,2,2,2,3,2,2,3,2,3,4,2,4,4,2,2,1,2,3,4,2,2
頭山＝晋太郎,5,1,3,2,1,4,2,2,4,3,3,2,5,3,1,2,5,3,4,3,3,4,1,5,2,4,5,2,1,1,1,3,4,5
中山＝成彬,5,1,2,2,1,2,1,3,2,2,5,2,5,5,1,1,5,3,2,3,1,3,3,5,2,4,3,4,1,1,1,4,3,3
伊勢田＝良子,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,5,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
田村＝貴昭,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
伊礼＝一美,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,4,1,2,4,1,4,4,2,5,5,5,5,5,5,4
